Title,Price,Rating,Colors,Size,Gender,Timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2026-06-13T13:14:02.487340
Hoodie 3,7950080.0,4.8,3,L,Unisex,2026-06-13T13:14:02.487402
Pants 4,7476960.0,3.3,3,XL,Men,2026-06-13T13:14:02.487451
Outerwear 5,5145440.0,3.5,3,XXL,Women,2026-06-13T13:14:02.487499
Jacket 6,2453920.0,3.3,3,S,Unisex,2026-06-13T13:14:02.487545
Crewneck 7,6892000.0,4.3,3,M,Men,2026-06-13T13:14:02.487600
T-shirt 8,7802560.0,3.1,3,L,Women,2026-06-13T13:14:02.487644
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2026-06-13T13:14:02.487746
Pants 10,3100160.0,4.2,3,XXL,Men,2026-06-13T13:14:02.487801
Jacket 12,8527840.0,3.9,3,M,Unisex,2026-06-13T13:14:02.487895
Crewneck 13,5447200.0,3.2,3,L,Men,2026-06-13T13:14:02.487950
T-shirt 14,3248800.0,3.8,3,XL,Women,2026-06-13T13:14:02.487995
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2026-06-13T13:14:02.488042
Outerwear 17,841600.0,3.8,3,M,Women,2026-06-13T13:14:02.488137
Jacket 18,5500000.0,3.8,3,L,Unisex,2026-06-13T13:14:02.488180
Crewneck 19,1308960.0,3.6,3,XL,Men,2026-06-13T13:14:02.488223
T-shirt 20,1325600.0,3.4,3,XXL,Women,2026-06-13T13:14:02.488266
Pants 22,4319680.0,4.9,3,M,Men,2026-06-13T13:14:03.646377
Outerwear 23,4655840.0,3.7,3,L,Women,2026-06-13T13:14:03.646434
Jacket 24,8223520.0,3.9,3,XL,Unisex,2026-06-13T13:14:03.646485
Crewneck 25,8322559.999999999,3.3,3,XXL,Men,2026-06-13T13:14:03.646539
T-shirt 26,7292320.0,4.6,3,S,Women,2026-06-13T13:14:03.646634
Hoodie 27,3551840.0,4.8,3,M,Unisex,2026-06-13T13:14:03.646699
Pants 28,5216160.0,4.0,3,L,Men,2026-06-13T13:14:03.646757
Outerwear 29,861600.0,3.1,3,XL,Women,2026-06-13T13:14:03.646806
Jacket 30,8610240.0,3.7,3,XXL,Unisex,2026-06-13T13:14:03.646853
T-shirt 32,6657920.0,3.4,3,M,Women,2026-06-13T13:14:03.646943
Hoodie 33,7248160.0,3.5,3,L,Unisex,2026-06-13T13:14:03.646990
Pants 34,8362719.999999999,3.8,3,XL,Men,2026-06-13T13:14:03.647035
Outerwear 35,1356160.0,3.8,3,XXL,Women,2026-06-13T13:14:03.647079
Jacket 36,7249280.0,3.7,3,S,Unisex,2026-06-13T13:14:03.647124
Crewneck 37,6006080.0,4.0,3,M,Men,2026-06-13T13:14:03.647169
T-shirt 38,4866080.0,3.2,3,L,Women,2026-06-13T13:14:03.647217
Hoodie 39,6431200.0,4.6,3,XL,Unisex,2026-06-13T13:14:03.647262
Pants 40,5853600.0,3.1,3,XXL,Men,2026-06-13T13:14:03.647305
